#,Name,Symbol,On Exchange,% Supply On Exchange,1D Change,1D Change %,7D Change,7D Change %,30D Change,30D Change %
258,Dego Finance,DEGO,12264834.0,58.4,1431.08,0.01,9432.45,0.08,303096.73,2.53
259,Hunt,HUNT,441549.0,0.22,-2151.78,-0.48,2394.04,0.55,-5974.41,-1.33
260,Milady Meme Coin,LADYS,316597460784634.0,35.65,290733470244.0,0.09,368283621373.0,0.12,-16833463527169.0,-5.05
261,Ethernity Chain,ERN,9307512.0,31.03,10696.16,0.12,-25082.75,-0.27,-73163.73,-0.78
262,Propy,PRO,3990132.0,3.99,51099.35,1.3,44358.6,1.12,126558.88,3.28
263,Clover Finance,CLV,465775399.0,46.58,619602.1,0.13,22647695.11,5.11,39198835.6,9.19
264,Litentry,LIT,36850496.0,36.85,-290554.18,-0.78,147165.01,0.4,515603.97,1.42
265,Bella Protocol,BEL,42686919.0,42.69,39416.64,0.09,880693.56,2.11,2060556.19,5.07
266,Onyxcoin,XCN,3808878964.0,7.87,103745392.0,2.8,403500968.0,11.85,67168304.15,1.8
267,Celsius,CEL,11277968.0,1.62,8128.97,0.07,64998.96,0.58,289337.16,2.63
268,Unifi Protocol DAO,UNFI,5995660.0,69.48,-6706.84,-0.11,-6112.59,-0.1,20665.51,0.35
269,Enzyme,MLN,411065.0,17.35,-83.455,-0.02,2167.19,0.53,14096.38,3.55
270,League of Kingdoms Arena,LOKA,81067090.0,40.21,243215.0,0.3,211786.16,0.26,2897761.61,3.71
271,SingularityDAO,SDAO,13997640.0,14.0,51591.62,0.37,-355732.52,-2.48,521901.35,3.87
272,Boba Network,BOBA,39563007.0,7.91,154716.14,0.39,2519338.02,6.8,2471218.46,6.66
273,Reef Finance,REEF,9268743101.0,40.61,5544557.06,0.06,452381394.0,5.13,874880905.0,10.42
274,LTO Network,LTO,79230124.0,18.64,269133.73,0.34,94219.07,0.12,1268786.61,1.63
275,Alpha Quark Token,AQT,754382.0,2.51,7.267e-07,0.0,-581.9,-0.08,4189.51,0.56
276,xMoney,UTK,163998464.0,32.8,-2331339.17,-1.4,-3247119.11,-1.94,-5276799.73,-3.12
277,Rally,RLY,221003868.0,1.47,411040.91,0.19,1049350.76,0.48,4081813.85,1.88
278,Selfkey,KEY,4437588762.0,73.96,6247746.18,0.14,-7608534.37,-0.17,10335133.18,0.23
279,Velas,VLX,28646553.0,1.12,-13715.07,-0.05,-173326.07,-0.6,-5230843.42,-15.44
280,Quickswap(New),QUICK,17435479.0,1.94,284564.98,1.66,711609.16,4.26,1762152.14,11.24
281,Rarible,RARI,1680389.0,6.72,-58726.05,-3.38,-53122.23,-3.06,167417.11,11.07
282,AVA,AVA,30455820.0,49.92,-90315.07,-0.3,-205114.13,-0.67,-2548651.7,-7.72
283,Ramp DeFi,RAMP,568083.0,0.06,0.0,0.0,-4.013e-05,0.0,1194.99,0.21
284,district0x,DNT,94453612.0,9.45,203735.56,0.22,-938.17,0.0,1825840.27,1.97
285,Burger Swap,BURGER,43477956.0,86.57,44990.27,0.1,-90121.95,-0.21,-142053.88,-0.33
286,Tranchess,CHESS,84127908.0,28.04,46169.1,0.05,219619.18,0.26,678846.2,0.81
287,Keep3rV1,KP3R,194661.0,38.41,-1059.06,-0.54,-2676.9,-1.36,-3587.25,-1.81
288,Voyager Token,VGX,178029912.0,60.55,-129881.13,-0.07,-288343.88,-0.16,2622352.14,1.5
289,Harvest Finance,FARM,246980.0,35.02,-323.73,-0.13,-1491.67,-0.6,4240.65,1.75
290,AirDAO,AMB,14983315.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0
291,Parsiq,PRQ,40709632.0,13.12,1509986.07,3.85,-1291488.46,-3.07,-5732549.49,-12.34
292,Dock,DOCK,1027629.0,0.11,-6.553e-05,0.0,-4.063e-05,0.0,-6.553e-05,0.0
293,Cream,CREAM,653406.0,22.34,-1382.68,-0.21,-3127.59,-0.48,52685.68,8.77
294,Alpaca Finance,ALPACA,67085680.0,44.82,287220.76,0.43,739417.8,1.11,1817657.49,2.78
295,AdEx,ADX,66943150.0,44.63,-797309.35,-1.18,-174107.02,-0.26,-1505333.59,-2.2
296,BarnBridge,BOND,6289161.0,62.89,-6031.01,-0.1,14891.4,0.24,216496.02,3.57
297,StarLink,STARL,5253022872162.0,52.53,34755591940.0,0.67,-103199258492.0,-1.93,-55772104358.0,-1.05
298,Beefy,BIFI,39943.0,49.93,9.3468,0.02,2574.85,6.89,3001.52,8.12
299,DFI.Money,YFII,31368.0,78.42,-624.55,-1.95,-2890.3,-8.44,-4937.46,-13.6
300,Boson Protocol,BOSON,37048569.0,18.52,453900.12,1.24,815628.66,2.25,2083211.58,5.96
301,VIDT DAO,VIDT,699355562.0,69.94,-449440.28,-0.06,636991.99,0.09,5599406.5,0.81
302,Dragonchain,DRGN,124318092.0,28.68,-123004.76,-0.1,-552441.54,-0.44,596040.96,0.48
303,StaFi,FIS,29332426.0,25.53,29253.61,0.1,795530.61,2.79,-589787.16,-1.97
304,Sentinel,SENT,12327107.0,0.05,-6.152e-05,0.0,-9.076e-05,0.0,-1.244e-05,0.0
305,Santos FC Fan Token,SANTOS,4784056.0,15.95,5808.44,0.12,9208.9,0.19,97894.45,2.09
306,Akropolis,AKRO,2873370994.0,57.47,2179899.9,0.08,5245553.11,0.18,73001040.66,2.61
307,Alpine F1 Team Fan Token,ALPINE,8426009.0,21.07,-1172.88,-0.01,-18661.54,-0.22,-23100.2,-0.27
308,Decentral Games V2,DG,5065313.0,0.68,-722164.45,-12.48,-2433986.63,-32.46,-108747.97,-2.1
309,Volt Inu(new),VOLT,6247125664552.0,9.05,-48496084725.0,-0.77,-58759642971.0,-0.93,272430183816.0,4.56
310,Lazio Fan Token,LAZIO,8032361.0,20.08,-296.16,0.0,-4460.06,-0.06,143060.87,1.81
311,Dogechain,DC,2724669027.0,1.61,2.417e-05,0.0,2018427.99,0.07,2018428.0,0.07
312,MXC,MXC,134642806.0,5.1,1197132.09,0.9,3452143.81,2.63,-36445704.63,-21.3
313,Manchester City Fan Token,CITY,800098.0,4.05,0.0,0.0,0.0,0.0,124.23,0.02
314,FC Porto,PORTO,6984868.0,17.46,864.92,0.01,1491.95,0.02,7056.88,0.1
315,Ellipsis,EPS,138955.0,0.02,-64.8011,-0.05,1279.96,0.93,4953.79,3.7
316,TrustSwap,SWAP,3658076.0,3.66,-131309.47,-3.47,-68818.38,-1.85,86558.8,2.42
317,Gifto,GFT,710696810.0,71.07,-7882701.82,-1.1,-7781839.08,-1.08,-21854008.92,-2.98
318,Octopus Network,OCT,5372031.0,5.37,40903.96,0.77,-76033.98,-1.4,256614.6,5.02
319,NEST Protocol,NEST,1728735470.0,17.29,71073.49,0.0,-1356545.79,-0.08,-2445650.71,-0.14
320,dForce,DF,190578458.0,19.06,4813.93,0.0,106061.16,0.06,2399529.8,1.28
321,AirSwap,AST,103499026.0,20.7,4942223.57,5.01,14056546.58,15.72,24514427.51,31.04
322,ForTube,FOR,232987649.0,23.3,394463.1,0.17,430856.45,0.19,13337495.21,6.07
323,SUKU,SUKU,20945060.0,1.4,-7116021.14,-25.36,-9070362.0,-30.22,-6999259.58,-25.05
324,PolySwarm,NCT,65623521.0,3.48,1687342.08,2.64,-7697382.55,-10.5,-17005406.37,-20.58
325,Kryll,KRL,7339080.0,14.85,-578600.05,-7.31,-516040.0,-6.57,-575793.95,-7.27
326,Bytom,BTM,257555251.0,12.26,-1.31,0.0,-833902.37,-0.32,-3371714.12,-1.29
327,Nimiq,NIM,334003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,Fusion,FSN,139682.0,0.24,-3.06e-05,0.0,-3.06e-05,0.0,1.121e-05,0.0
329,QRL,QRL,12925.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
330,Matrix AI Network,MAN,4425242.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
331,Inverse Finance,INV,16506.0,2.97,-1505.67,-8.36,-2171.04,-11.62,-896.19,-5.15
332,pNetwork,PNT,67744926.0,70.0,143534.21,0.21,146719.38,0.22,42027.29,0.06
333,Chrono.tech,TIME,169381.0,23.85,1320.97,0.79,11689.85,7.41,40703.07,31.63
334,Viberate,VIB,157472674.0,78.74,-1.809e-05,0.0,90426.7,0.06,606579.31,0.39
335,SOLVE token,SOLVE,129634986.0,12.96,-4.548e-05,0.0,189892.36,0.15,-2087523.11,-1.58
336,Revvmotorsport,REVV,157900180.0,5.26,-755351.62,-0.48,-4343164.08,-2.68,25101271.26,18.9
337,Wall Street Memes,WSM,502256013.0,25.12,-721433.42,-0.14,-22276708.81,-4.25,-234695677.0,-31.85
338,PowerPool,CVP,22818203.0,22.82,16036.48,0.07,215362.97,0.95,294080.01,1.31
339,Drep(new),DREP,32396347.0,32.4,-500242.44,-1.52,-527087.56,-1.6,1254643.24,4.03
340,OAX,OAX,39012039.0,39.01,-1937.89,0.0,5230.24,0.01,149108.5,0.38
341,Serum,SRM,93667519.0,35.89,-163668.24,-0.17,-1240068.9,-1.31,-761552.41,-0.81
342,Multichain,MULTI,2966793.0,2.97,18813.33,0.64,-435828.8,-12.81,-1369914.46,-31.59
343,Tornado.Cash,TORN,870349.0,8.7,5535.53,0.64,-2222.65,-0.25,-68698.59,-7.32
344,WeWay,WWY,789031775.0,11.27,170064.01,0.02,-1727000.72,-0.22,17753183.74,2.3
345,Blockchain Brawlers,BRWL,102320288.0,10.23,449296.24,0.44,-1025737.12,-0.99,4684610.8,4.8
346,Aventus,AVT,464966.0,4.37,17317.32,3.87,-94196.5,-16.85,-112725.33,-19.51
347,Cryptex Finance,CTX,461123.0,4.61,-2814.57,-0.61,3518.25,0.77,-23760.26,-4.9
348,BABB,BAX,44486501444.0,52.96,-55777686.87,-0.13,16856624.57,0.04,69681515.92,0.16
349,QASH,QASH,47833920.0,4.78,-2.1e-05,0.0,-4.1e-05,0.0,-4.2e-05,0.0
350,Ooki Protocol,OOKI,5913934729.0,123.8,305834575.0,5.45,335224166.0,6.01,649143460.0,12.33
351,Augur,REP,2522524.0,22.93,15921.3,0.64,-1129.61,-0.04,-140596.62,-5.28
352,Hillstone Finance,HSF,21190522.0,21.19,4.746e-05,0.0,1.61e-06,0.0,1793.03,0.01
353,Pluton,PLU,300149.0,1.5,-45489.35,-13.16,-29339.94,-8.9,-8490.9,-2.75
354,TamaDoge,TAMA,229828353.0,16.21,-875002.3,-0.38,-916835.12,-0.4,-488936660.0,-68.02
355,Gamestarter,GAME,1183378.0,1.18,31472.59,2.73,44831.59,3.94,-276284.32,-18.93
356,Strips Finance,STRP,540961.0,0.54,450000.0,494.72,449766.67,493.2,451078.32,501.85
357,BTC Standard Hashrate Token(new),BTCST,5031313.0,33.54,-1768.4,-0.04,-1549.24,-0.03,78417.31,1.58
358,Revain,REV,3244899340.0,3.81,-4.8e-05,0.0,-204484.0,-0.01,198900005.0,6.53
359,Anchor Protocol,ANC,2741783.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0
360,SunContract,SNC,16045073.0,13.08,-1.64e-05,0.0,2.54e-06,0.0,2.54e-06,0.0
361,Morpheus Labs,MITX,390278924.0,39.03,7.13e-06,0.0,-1.19e-06,0.0,-20000.0,-0.01
362,ProBit Token,PROB,14842772.0,7.81,1.001e-05,0.0,1.001e-05,0.0,-1023.99,-0.01
363,Satoshi Island Coin,STC,298519.0,1.42,0.0,0.0,-507.55,-0.17,-602.75,-0.2
364,Navcoin,NAV,891507.0,1.16,-748.19,-0.08,-1870.1,-0.21,-9821.6,-1.09
365,DOSE,DOSE,618523020.0,12.37,-471841.14,-0.08,31229712.0,5.32,56924818.42,10.14
366,Quantstamp,QSP,263138714.0,26.95,118502.84,0.05,-2034009.31,-0.77,21077557.95,8.71
367,pSTAKE,PSTAKE,47899132.0,9.58,271398.87,0.57,731250.34,1.55,3594096.81,8.11
368,MoveZ,MOVEZ,888806425.0,18.14,1991293.87,0.22,11054139.85,1.26,21353099.4,2.46
369,TenUp,TUP,61381617.0,31.97,1735374.76,2.91,1905271.84,3.2,3422142.74,5.9
370,AstroSwap,ASTRO,92253650.0,2.43,2203702.63,2.45,-4334790.21,-4.49,-5344673.83,-5.48
371,Lympo,LYM,606347970.0,60.63,-353570.71,-0.06,-696721.67,-0.11,-403509.12,-0.07
372,Populous,PPT,8022005.0,15.06,3.488e-05,0.0,-32442.55,-0.4,-46935.6,-0.58
373,Mirror Protocol,MIR,46230992.0,12.48,497531.32,1.09,2192551.56,4.98,2970729.89,6.87
374,BnkToTheFuture,BFT,70160611.0,7.02,6.397e-05,0.0,4.569e-05,0.0,-158209.77,-0.22
375,AutoFarm,AUTO,28119.0,34.87,-78.4966,-0.28,-412.04,-1.44,-1287.04,-4.38
376,Cindicator,CND,462567096.0,23.13,-3.561e-05,0.0,-955530.01,-0.21,-2465015.78,-0.53
377,Green Satoshi Token (BSC),GST,30140648.0,17.58,-12824.71,-0.04,455441.79,1.53,219864.2,0.73
378,TenX,PAY,50914444.0,24.81,9.394e-05,0.0,-1060575.7,-2.04,-892022.08,-1.72
379,Skeb Coin,SKEB,245859507.0,2.46,42076978.6,20.65,37096292.6,17.77,17967336.25,7.88
380,Monetha,MTH,110331912.0,27.42,-175400.81,-0.16,-4852681.38,-4.21,-3762412.84,-3.3
381,OpenDao,SOS,58939853035921.0,58.94,-10292014210.0,-0.02,-43565879224.0,-0.07,4132614629169.0,7.54
382,RCN,RCN,171533428.0,17.15,-480913.36,-0.28,2190663.02,1.29,3451671.99,2.05
383,Genaro Network,GNX,158063778.0,24.32,-2726.13,0.0,-161960.27,-0.1,6188262.79,4.07
384,RDN,RDN,16187943.0,16.19,-4095.21,-0.03,-26687.67,-0.16,194761.81,1.22
385,Walton,WTC,7844903.0,8.84,3.866e-05,0.0,-1.463e-05,0.0,-30.2931,0.0
386,Dentacoin,DCN,20405305090.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0
387,Mithril,MITH,578605589.0,57.86,-96659.32,-0.02,-355455.59,-0.06,7266006.66,1.27
388,Credits,CS,2592303.0,1.04,2.7e-05,0.0,-1e-06,0.0,3.9e-05,0.0
389,PERL.eco,PERL,260845795.0,25.25,-46659.9,-0.02,-26033126.08,-9.07,-36433535.76,-12.26
390,Moeda Loyalty,MDA,9466815.0,48.23,1.122e-05,0.0,-3317.99,-0.04,1078994.06,12.86
391,SONM,SNM,161205624.0,363.08,-6592.05,0.0,-38976.17,-0.02,-204665.44,-0.13
392,Bread,BRD,39908165.0,44.91,9e-10,0.0,-41098.08,-0.1,-133068.95,-0.33
393,Odyssey,OCN,6726900411.0,67.27,4.873e-05,0.0,1.821e-05,0.0,-1535453.98,-0.02
394,Brokoli Network,BRKL,9557131.0,7.65,-118441.36,-1.22,251959.11,2.71,205054.15,2.19
395,VIBEHub,VIBE,60174530.0,22.54,1.04e-06,0.0,2.477e-05,0.0,2.476e-05,0.0
396,RuffChain,RUFF,225499974.0,11.99,-9.093e-05,0.0,-4.917e-05,0.0,7805990.74,3.59
397,BIX Token,BIX,41820119.0,19.88,0.0,0.0,1.81e-06,0.0,-41.9999,0.0
398,Everex,EVX,7105631.0,28.42,0.0,0.0,0.0,0.0,-114.0,0.0
399,MediShares,MDS,671982626.0,33.6,-4.725e-05,0.0,-587706.08,-0.09,-2640697.65,-0.39
400,My Master War,MAT,5083369.0,5.08,-34406.58,-0.67,-299897.0,-5.57,-1136341.8,-18.27
401,Zeusshield,ZSC,695039182.0,12.32,4220184.99,0.61,4220184.99,0.61,4168485.78,0.6
402,Internxt,INXT,102927.0,9.2,4.687e-05,0.0,7.94e-06,0.0,4.687e-05,0.0
403,EASY V2,EZ,2345132.0,23.45,2.031e-05,0.0,3.494e-05,0.0,17403.9,0.75
404,FODL Finance,FODL,42975285.0,4.3,88716.44,0.21,1369850.26,3.29,-907360.9,-2.07
405,Evrynet,EVRY,30148884.0,3.01,-26729.59,-0.09,638625.2,2.16,875489.0,2.99
406,Deesse,LOVE,275266382.0,1.38,0.0,0.0,3.592e-05,0.0,3.592e-05,0.0
407,CoinFi,COFI,93439102.0,31.15,5.024e-05,0.0,5.406e-05,0.0,3.042e-05,0.0
408,Pawtocol,UPI,347237101.0,34.72,1737492.57,0.5,15581321.95,4.7,18015018.48,5.47
409,IHTCoin,IHT,719291495.0,72.18,-4.398e-05,0.0,-4.398e-05,0.0,-3e-10,0.0
410,Orion Money,ORION,21847047.0,2.18,62666.09,0.29,144772.0,0.67,401586.67,1.87
411,Bikerush,BRT,100193491.0,2.0,0.0,0.0,19999430.9,24.94,38308930.87,61.9
412,MetaverseX,METAX,3389805.0,16.95,0.0,0.0,7118.78,0.21,1381.27,0.04
413,Beyond Protocol,BP,60474285.0,12.09,0.0,0.0,-1118532.6,-1.82,1694888.21,2.88
414,FaceDAO,FACE,1641715974763.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
415,Playkey,PKT,2532617.0,12.73,59070.0,2.39,59070.0,2.39,59070.0,2.39
416,Remme,REM,723252995.0,72.33,0.0,0.0,-1053813.28,-0.15,-1235597.1,-0.17
417,Enigma,ENG,3837474.0,2.56,-4.249e-05,0.0,-1279.43,-0.03,-31943.99,-0.83
418,Primas,PST,34446796.0,27.04,-5.895e-05,0.0,-7.744e-05,0.0,-95.076,0.0
419,RankerDAO,RANKER,154359069.0,51.45,360815.39,0.23,-9227549.54,-5.64,-9952856.64,-6.06
420,DELTA,DLT,38576004.0,29.61,-4.972e-05,0.0,-8.189e-05,0.0,-1.32e-06,0.0
421,Po.et,POE,1241924432.0,39.53,8.53e-05,0.0,4.742e-05,0.0,7.358e-05,0.0
422,ShoeFy,SHOE,7723140.0,7.72,1.357e-05,0.0,-266334.94,-3.33,709364.67,10.11
423,Lunyr,LUN,1335407.0,49.4,-9.15e-06,0.0,-1.44e-05,0.0,1.709e-05,0.0
424,CyberMiles,CMT,527588411.0,52.76,5.046e-05,0.0,1.413e-05,0.0,1.023e-05,0.0
425,Marnotaur,TAUR,23802524.0,15.87,4.714e-05,0.0,4.714e-05,0.0,-5583.52,-0.02
426,Hero Arena,HERA,39536009.0,39.54,-14275.59,-0.04,8041.3,0.02,90084.03,0.23
427,EchoLink,EKO,475490714.0,95.1,0.0,0.0,3.689e-05,0.0,6.885e-05,0.0
428,Envelop,NIFTSY,7214202.0,1.44,4.974e-05,0.0,3.216e-05,0.0,-132149.9,-1.8
429,BIKI Token,BIKI,169518749.0,42.3,0.0,0.0,0.0,0.0,0.0,0.0
430,Time New Bank,TNB,2491680473.0,56.45,3.582e-05,0.0,7.062e-05,0.0,3.062e-05,0.0
431,Kollect,KOL,154311881.0,15.43,469748.75,0.31,422020.02,0.27,-7417101.12,-4.59
432,DAOSquare,RICE,13389.0,0.01,3.07e-05,0.0,-9573.12,-41.69,-46549.26,-77.66
433,Davinci Coin,DAC,12091085132.0,137.4,-9.88e-06,0.0,2.421e-05,0.0,0.0,0.0
434,Swarm,SWM,4997400.0,5.02,1.229e-05,0.0,2.718e-05,0.0,1.229e-05,0.0
435,CPChain,CPC,11315861.0,1.13,0.0,0.0,5.82e-05,0.0,-43112.97,-0.38
436,MContent,MCONTENT,221497740905191.0,3.68,2014567489193.0,0.92,9871072185137.0,4.66,25745864149258.0,13.15
437,BitDegree,BDG,26211272.0,3.97,4.361e-05,0.0,-8.71e-06,0.0,4.361e-05,0.0
438,MetaVisa Protocol,MESA,157329354.0,1.57,11477823.7,7.87,7578804.21,5.06,43447333.14,38.15
439,DeSpace Protocol,DES,49266947.0,49.27,2.234e-05,0.0,-35195.82,-0.07,1713311.05,3.6
440,SingularDTV,SNGLS,425360771.0,42.54,-3214.0,0.0,-6643.0,0.0,-133346.0,-0.03
441,Egretia Token,EGT,2728063007.0,34.1,-4.91e-07,0.0,-1.732e-05,0.0,-5.73e-06,0.0
442,ShitCoin,SHIT,24811279227233.0,24.81,-1e-05,0.0,-522196927308.0,-2.06,-161976281777.0,-0.65
443,TopChainCoin,TOPC,692231597.0,32.96,3.2e-05,0.0,-1082424.05,-0.16,-7332424.05,-1.05
444,WonderHero,WND,599336.0,0.6,0.0,0.0,-133.92,-0.02,-762.27,-0.13
445,CargoX,CXO,24983200.0,11.61,-2.4e-06,0.0,-2.4e-06,0.0,-2.4e-06,0.0
446,SingularityNET,AGI,274307379.0,27.43,2.847e-05,0.0,4.717e-05,0.0,-1.87e-05,0.0
447,Power candy,POC,173685960.0,1.74,3.234e-05,0.0,0.0,0.0,8.299e-05,0.0
448,TokenClub,TCT,634701082.0,63.47,-19259.78,0.0,-147313.76,-0.02,5785279.36,0.92
449,DATA,DTA,720353717.0,6.26,4.121e-05,0.0,8.598e-05,0.0,0.00012136,0.0
450,KSM Starter,KST,9691232.0,0.0,0.0,0.0,-15769.84,-0.16,-954101.15,-8.96
451,Wrapped LUNA Token,WLUNA,22476759595.0,433588.42,43745029.5,0.2,143653975.0,0.64,1436418895.0,6.83
452,Zilla,ZLA,14918328.0,24.86,0.0,0.0,-4.11e-05,0.0,-4.11e-05,0.0
453,Exchange Union,XUC,14462077.0,0.48,2.333e-05,0.0,2.333e-05,0.0,-934.72,-0.01
454,Tepleton,TEP,8966570.0,0.9,1.171e-05,0.0,1.171e-05,0.0,0.0,0.0
455,bZx Protocol,BZRX,240296.0,0.02,0.0,0.0,4.231e-07,0.0,2.919e-05,0.0
456,IoT Chain,ITCOLD,17771.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
457,WBF Token,WT,875768.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
458,BCPT,BCPT,14016700.0,12.07,1.51e-05,0.0,-4.207e-05,0.0,6.565e-05,0.0
459,GameCredits,GAME,5377304.0,2.69,2.209e-05,0.0,2.209e-05,0.0,-113802.21,-2.07
460,Banca,BANCA,1594955229.0,7.97,-3.993e-05,0.0,-7.72e-06,0.0,0.0,0.0
461,Berry,BERRY,2357868213.0,23.58,-24760361.46,-1.04,20397760.48,0.87,1292223816.0,121.26
462,Humaniq,HMQ,27906258.0,13.47,6.559e-05,0.0,0.0,0.0,8.393e-05,0.0
463,Tierion,TNT,211799535.0,21.18,8.75e-06,0.0,-7.15e-06,0.0,1.66e-06,0.0
464,ChatCoin,CHAT,515936619.0,51.59,-1.81e-05,0.0,-10283189.45,-1.95,-10728317.7,-2.04
465,SmartMesh,SMT,14770082.0,0.47,8.486e-05,0.0,3.557e-05,0.0,4.99e-08,0.0
466,Bituan Token,BT,54782233.0,5.48,-4e-05,0.0,0.0,0.0,-4e-05,0.0
467,The Three Kingdoms,TTK,22879804.0,2.29,0.0,0.0,0.0,0.0,0.0,0.0
468,Wrapped Centrifuge,wCFG,13705461.0,3.19,-54382.66,-0.4,553055.56,4.2,2323346.67,20.41
469,EKT,EKT,787634008.0,108.74,-3.201e-05,0.0,-1.946e-05,0.0,-243120.71,-0.03
470,CUBE Network,CUBE,390382.0,0.04,3.05e-06,0.0,-1.023e-05,0.0,-146.62,-0.04
471,Heroes & Empires,HE,20375436.0,6.49,-152542.97,-0.74,-64850.19,-0.32,3320002.5,19.47
472,Blockcloud,BLOC,2894132380.0,28.94,-2.093e-05,0.0,7e-06,0.0,-0.9999,0.0
473,SIRIN LABS,SRN,125888857.0,22.0,0.0,0.0,46567.82,0.04,-330524.5,-0.26
474,mStable USD,MUSD,164433.0,5.08,0.0,0.0,-996.77,-0.6,-1086.11,-0.66
475,DMarket,DMT,9200991.0,16.16,0.0,0.0,-37324.54,-0.4,-40482.78,-0.44
476,Torii Finance,TORII,689.33,2.15,0.0,0.0,0.0,0.0,0.0,0.0
477,Tael,WABI,31494718.0,31.49,-3.75e-05,0.0,-131432.12,-0.42,-131432.12,-0.42
478,Ink,INK,80610535.0,8.06,-4.509e-05,0.0,-8.567e-05,0.0,-1.943e-05,0.0
479,VouchForMe,IPL,1100076.0,0.37,-4.294e-05,0.0,-4.294e-05,0.0,-4.294e-05,0.0
480,BQT,BQT,11332875.0,1.13,-4e-06,0.0,-1e-10,0.0,0.0,0.0
481,Genesis Vision,GVT,2930006.0,66.04,2.952e-05,0.0,-160.99,-0.01,-612.59,-0.02
482,AppCoins,APPC,55696626.0,23.23,0.0,0.0,-8.29e-06,0.0,-17365.72,-0.03
483,EXRNchain,EXRN,7441289315.0,7.44,0.0,0.0,-3399724.0,-0.05,-3399724.0,-0.05
484,Demole,DMLG,66574482.0,0.0,-139105.72,-0.21,-572244.57,-0.85,-120914.93,-0.18
485,IndiGG,INDI,9594542.0,0.96,0.0,0.0,13440.82,0.14,246258.16,2.63
486,Matryx,MTX,25045785.0,7.97,0.0,0.0,-7.62e-06,0.0,-7.62e-06,0.0
487,Tiger Cash,TCH,104.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,Experty,EXY,5285332.0,6.66,-3e-10,0.0,1.97e-06,0.0,-3e-10,0.0
489,OneRoot,RNT,193509623.0,48.38,-3.363e-05,0.0,-3.363e-05,0.0,-3.362e-05,0.0
490,Oceanland,OLAND,127865379.0,13.32,-302339.75,-0.24,-868288.55,-0.67,1716072.97,1.36
491,Gro DAO Token,GRO,19876.0,0.4,4.599e-05,0.0,1.18e-06,0.0,2.351e-05,0.0
492,WePower Network,WPR,240114000.0,32.22,-1.999e-05,0.0,-7.543e-05,0.0,-5.543e-05,0.0
493,XrpMoonPepeinuHomerSimpsonDeveloper,DOGECOIN,5.158328915484074e+24,12.28,0.0,0.0,0.0,0.0,0.0,0.0
494,Bitcoin BEP2,BTCB,18238.0,30.14,-181.16,-0.98,-1995.89,-9.86,-5195.72,-22.17
495,Mantle,MNT,362357099.0,5.83,277255.14,0.08,4225893.92,1.18,446971.04,0.12
496,Wrapped Beacon ETH,WBETH,592474.0,75.24,-8918.47,-1.48,-9580.29,-1.59,-95062.11,-13.83
497,Cheelee,CHEEL,49488.0,0.0,-170.93,-0.34,-645.19,-1.29,-4056.33,-7.58
498,BitDAO,BIT,149083464.0,1.49,65044.61,0.04,297092.18,0.2,411513.25,0.28
499,BitTorrent,BTTOLD,619676295.0,0.06,19909.0,0.0,4231333.34,0.69,65683435.54,11.86
500,HEX,HEX,299811591.0,0.05,-7059143.54,-2.3,12412000.23,4.32,32849523.39,12.3
501,Wrapped BNB,WBNB,60450.0,3.25,571.65,0.95,2598.5,4.49,9340.2,18.27
502,Merit Circle,MC,9279265.0,1.39,-448.43,0.0,-9994.47,-0.11,-64231.41,-0.69
503,Bitget Token,BGB,235077828.0,11.75,20958.44,0.01,-215109598.0,-47.78,-215101076.0,-47.78
504,Frax,FRAX,187257.0,0.03,0.0,0.0,-67.0194,-0.04,808.17,0.43
505,WhiteBIT token,WBT,29709684.0,8.13,-482.0,0.0,-445404.41,-1.48,-1754904.8,-5.58
506,Fellaz,FLZ,2399876.0,0.12,0.0,0.0,278001.26,13.1,48001.25,2.04
507,Axelar,AXL,9678347.0,0.85,-442701.87,-4.37,-69659.06,-0.71,1109335.08,12.95
508,Huobi BTC,HBTC,11663.0,130.04,1.377e-05,0.0,268.0,2.35,268.0,2.35
509,Oraichain Token,ORAI,61144.0,0.36,-309.76,-0.5,-5704.57,-8.53,-17239.75,-21.99
510,Decentralized USD (TRX),USDD,3959685.0,0.54,-3087.4,-0.08,-4000.11,-0.1,41426.49,1.06
511,Coinbase Wrapped Staked ETH,CBETH,3029.64,0.23,-421.05,-12.2,-536.84,-15.05,-1666.53,-35.49
512,AltLayer,ALT,618419296.0,6.18,-5940523.41,-0.95,-507938593.0,-45.1,-459449104.0,-42.63
513,Tether Gold,XAUT,104738.0,42.49,500.05,0.48,533.02,0.51,641.83,0.62
514,Fasttoken,FTN,719511.0,0.08,3912.5,0.55,117951.5,19.61,513615.53,249.45
515,MetisDAO,METIS,141425.0,1.41,-969.05,-0.68,15953.39,12.71,37336.98,35.87
